simulated time	num cells	num division	num death	wall time
0	889	889	0	0.011371
60	893	4	0	7.10519
120	893	0	0	6.95721
180	893	0	0	7.1095
240	893	0	0	7.23951
300	893	0	0	6.70763
360	893	0	0	6.87467
420	893	0	0	6.94396
480	893	0	0	6.91275
540	893	0	0	6.82901
600	890	0	3	6.71645
660	889	0	1	6.88426
720	887	0	2	6.81579
780	886	0	1	6.82897
840	885	0	1	6.96603
900	885	0	0	6.85388
960	884	0	1	7.16936
1020	883	0	1	7.23388
1080	883	0	0	7.41552
1140	881	0	2	7.36646
1200	880	0	1	7.31023
1260	880	0	0	6.94426
1320	880	0	0	6.84268
1380	880	0	0	6.7877
1440	879	0	1	6.72499
1500	879	0	0	6.72968
1560	879	0	0	6.75176
1620	879	0	0	6.94317
1680	878	0	1	6.77378
1740	878	0	0	6.70581
