simulated time	num cells	num division	num death	wall time
0	889	889	0	0.004505
60	895	6	0	2.0735
120	900	5	0	1.96602
180	907	7	0	2.09253
240	909	2	0	1.84825
300	912	3	0	1.92789
360	914	2	0	1.82537
420	914	0	0	1.8673
480	917	3	0	2.00943
540	917	0	0	2.24216
600	912	1	6	1.90736
660	911	3	4	2.08931
720	911	4	4	1.87735
780	913	3	1	2.0406
840	911	4	6	1.89649
900	911	2	2	1.91403
960	914	6	3	2.43491
1020	913	5	6	1.9154
1080	915	3	1	2.06351
1140	916	3	2	1.85735
1200	917	1	0	1.83185
1260	918	3	2	2.45513
1320	922	7	3	2.55843
1380	920	2	4	1.8408
1440	921	5	4	2.05398
1500	924	5	2	2.31073
1560	927	3	0	2.14711
1620	928	4	3	2.00435
1680	934	8	2	2.03612
1740	938	8	4	1.76119
1800	937	2	3	2.00996
1860	937	3	3	2.3057
1920	931	2	8	1.88491
1980	930	4	5	1.92251
2040	933	3	0	1.98745
2100	930	1	4	2.03697
2160	931	5	4	1.99197
2220	934	5	2	2.12055
2280	932	3	5	2.05359
2340	931	2	3	1.90296
2400	932	6	5	2.23235
2460	930	3	5	2.04865
2520	934	4	0	2.09303
2580	936	3	1	1.94637
2640	936	2	2	1.92787
2700	943	7	0	2.02046
2760	942	1	2	2.36082
2820	948	6	0	2.3218
2880	946	5	7	1.8709
2940	947	4	3	2.26421
3000	954	7	0	2.08255
3060	955	7	6	2.07708
3120	960	5	0	2.02296
3180	961	3	2	2.42388
3240	961	3	3	2.31475
3300	960	2	3	1.95488
3360	958	4	6	1.95448
3420	959	3	2	2.37232
3480	956	1	4	2.19963
3540	955	1	2	2.16719
3600	954	2	3	2.13261
3660	955	3	2	2.44499
3720	961	8	2	2.12385
3780	960	2	3	2.1536
3840	956	3	7	2.15361
3900	954	5	7	2.21263
3960	954	1	1	1.92191
4020	952	3	5	1.83236
4080	951	4	5	2.00421
4140	948	0	3	1.93001
4200	951	4	1	2.04154
4260	954	5	2	2.09264
4320	953	3	4	2.28826
4380	953	3	3	1.87592
4440	955	3	1	1.9821
4500	952	1	4	1.84943
4560	954	2	0	2.01293
4620	954	2	2	2.12589
4680	957	6	3	1.89184
4740	955	1	3	1.95645
4800	958	7	4	1.9474
4860	958	1	1	2.05701
4920	957	0	1	1.85866
4980	959	2	0	1.83979
5040	962	5	2	1.99578
5100	964	4	2	2.05598
5160	965	3	2	1.88529
5220	966	6	5	1.92825
5280	970	5	1	2.19463
5340	970	5	5	1.89172
5400	971	1	0	1.932
5460	971	1	1	2.03975
5520	976	6	1	2.08375
5580	978	4	2	2.0831
5640	983	7	2	2.24768
5700	986	4	1	1.89584
5760	984	2	4	1.98754
5820	986	5	3	1.97055
5880	990	5	1	1.94188
5940	986	1	5	2.061
6000	983	3	6	1.88485
6060	981	1	3	1.97921
6120	982	6	5	2.19261
6180	984	6	4	1.95842
6240	989	5	0	2.17715
6300	985	1	5	1.90036
6360	986	3	2	2.02006
6420	984	1	3	2.04609
6480	986	3	1	1.97098
6540	988	3	1	2.30776
6600	990	3	1	1.77772
6660	989	4	5	1.85748
6720	989	3	3	2.0009
6780	994	9	4	2.04638
6840	994	0	0	2.15206
6900	994	4	4	1.83127
6960	991	0	3	2.45408
7020	993	5	3	2.54651
7080	1007	14	0	2.08056
7140	1009	4	2	2.05035
7200	1009	4	4	2.0615
7260	1012	3	0	2.13768
7320	1012	2	2	2.43038
7380	1011	3	4	2.21675
7440	1005	4	10	2.26072
7500	1005	2	2	1.89185
7560	1000	1	6	1.96798
7620	1002	6	4	2.46649
7680	998	1	5	1.84896
7740	994	0	4	1.976
7800	994	3	3	2.10609
7860	991	6	9	1.9321
7920	993	6	4	1.92787
7980	996	6	3	1.81878
8040	1001	5	0	1.97644
8100	1000	1	2	2.21876
8160	1000	2	2	2.16275
8220	1001	2	1	2.21555
8280	998	1	4	2.1141
8340	999	6	5	2.13923
8400	1004	7	2	2.04482
8460	1000	2	6	2.10763
8520	1003	3	0	2.50903
8580	1000	0	3	1.86844
8640	1004	7	3	2.17094
8700	1004	5	5	2.2927
8760	1008	5	1	2.1461
8820	1006	4	6	2.1196
8880	1008	4	2	2.06049
8940	1007	4	5	1.88989
9000	1009	4	2	2.26087
9060	1010	3	2	1.88332
9120	1011	2	1	1.90368
9180	1010	2	3	1.92637
9240	1010	3	3	2.02801
9300	1012	4	2	2.20163
9360	1011	3	4	2.03689
9420	1009	1	3	2.15902
9480	1010	6	5	2.32491
9540	1015	7	2	2.12802
9600	1019	8	4	2.01964
9660	1015	6	10	2.29248
9720	1014	6	7	1.98303
9780	1011	1	4	2.02452
9840	1012	4	3	2.25153
9900	1014	6	4	2.04496
9960	1016	4	2	1.97544
10020	1022	10	4	1.88275
10080	1023	4	3	1.92446
10140	1021	1	3	1.96397
10200	1020	1	2	1.94554
10260	1023	5	2	2.15331
10320	1022	3	4	1.84533
10380	1017	2	7	2.20362
10440	1018	4	3	1.82807
10500	1021	5	2	1.90389
10560	1022	3	2	2.10085
10620	1017	0	5	1.90686
10680	1021	5	1	1.92688
10740	1020	2	3	2.03887
10800	1018	1	3	1.89034
10860	1018	2	2	2.13616
10920	1020	3	1	2.03591
10980	1022	5	3	1.99061
11040	1025	5	2	2.37058
11100	1029	6	2	1.97241
11160	1029	4	4	1.88288
11220	1031	2	0	1.96444
11280	1035	5	1	2.045
11340	1037	7	5	2.13696
11400	1032	2	7	2.32544
11460	1034	4	2	1.90171
11520	1033	2	3	1.98794
11580	1034	4	3	2.31474
11640	1033	1	2	2.09305
11700	1031	5	7	1.86629
11760	1027	0	4	2.05085
11820	1030	6	3	2.79323
11880	1029	1	2	1.68914
11940	1032	5	2	2.14371
12000	1030	1	3	2.1006
12060	1032	4	2	2.66813
12120	1037	7	2	2.19569
12180	1041	8	4	2.05895
12240	1046	6	1	2.43385
12300	1049	7	4	1.91539
12360	1052	7	4	1.88937
12420	1050	4	6	1.74989
12480	1052	6	4	2.26751
12540	1055	7	4	1.92188
12600	1057	6	4	2.1146
12660	1052	6	11	2.04201
12720	1049	4	7	2.33888
12780	1049	6	6	1.87291
12840	1054	7	2	2.15241
12900	1052	6	8	1.85741
12960	1053	3	2	2.03555
13020	1059	9	3	2.1822
13080	1058	3	4	1.87798
13140	1056	3	5	1.98916
13200	1059	4	1	2.16567
13260	1062	5	2	1.88393
13320	1063	4	3	1.952
13380	1065	9	7	2.11979
13440	1064	1	2	2.06308
13500	1063	8	9	1.90137
13560	1066	5	2	1.94392
13620	1068	2	0	2.09158
13680	1067	2	3	2.08808
13740	1070	4	1	2.04549
13800	1065	1	6	2.09905
13860	1067	3	1	2.18514
13920	1070	8	5	1.96644
13980	1072	6	4	1.85941
14040	1074	4	2	1.97707
14100	1068	5	11	1.9989
14160	1067	5	6	2.25474
14220	1074	7	0	1.98792
14280	1081	8	1	1.92647
14340	1083	7	5	2.23318
14400	1085	3	1	2.17213
14460	1080	2	7	2.02572
14520	1077	4	7	2.10105
14580	1078	2	1	2.09474
14640	1080	4	2	1.85788
14700	1082	6	4	2.09907
14760	1086	6	2	1.99747
14820	1087	5	4	2.1596
14880	1087	4	4	1.98396
14940	1084	2	5	2.04096
15000	1086	3	1	1.91895
15060	1088	6	4	2.13623
15120	1087	3	4	2.01943
15180	1086	0	1	1.95748
15240	1087	7	6	2.00284
15300	1087	3	3	2.11354
15360	1087	3	3	2.05452
15420	1088	3	2	2.02855
15480	1083	1	6	2.03201
15540	1085	5	3	1.8458
15600	1088	6	3	2.2645
15660	1084	2	6	1.93488
15720	1081	1	4	2.10161
15780	1083	3	1	2.023
15840	1085	4	2	2.01871
15900	1089	5	1	2.10615
15960	1089	2	2	1.84655
16020	1092	8	5	2.07258
16080	1087	6	11	2.58691
16140	1090	4	1	2.01444
16200	1091	5	4	2.12805
16260	1090	2	3	1.84131
16320	1089	2	3	2.19873
16380	1086	1	4	2.1916
16440	1081	1	6	2.33226
16500	1083	8	6	2.5039
16560	1085	3	1	2.48443
16620	1081	1	5	2.43037
16680	1078	0	3	2.27418
16740	1077	2	3	2.46187
16800	1075	2	4	2.10454
16860	1072	2	5	2.14107
16920	1073	3	2	2.31874
16980	1072	6	7	2.41979
17040	1073	2	1	2.13656
17100	1077	7	3	2.39931
17160	1078	4	3	1.89235
17220	1077	3	4	1.94802
17280	1080	3	0	2.2821
17340	1080	4	4	1.94076
17400	1082	4	2	2.05937
17460	1078	2	6	2.71564
17520	1079	3	2	2.11765
17580	1082	6	3	2.79769
17640	1081	6	7	1.93064
17700	1085	8	4	2.17263
17760	1089	5	1	2.08103
17820	1092	7	4	1.95721
17880	1089	4	7	1.99392
17940	1089	5	5	1.87465
18000	1086	4	7	1.90034
18060	1085	2	3	1.88412
18120	1090	5	0	1.91339
18180	1087	3	6	1.93536
18240	1089	3	1	1.88969
18300	1093	4	0	1.8418
18360	1094	3	2	1.89363
18420	1092	4	6	1.86045
18480	1090	1	3	1.9529
18540	1091	4	3	1.87182
18600	1092	5	4	1.94455
18660	1093	5	4	1.83629
18720	1098	7	2	2.0505
18780	1099	3	2	2.31802
18840	1098	1	2	1.89542
18900	1100	4	2	2.06424
18960	1098	5	7	1.92637
19020	1099	4	3	1.92889
19080	1099	4	4	2.03659
19140	1099	3	3	1.95995
19200	1101	4	2	2.19034
19260	1101	4	4	2.07154
19320	1101	5	5	2.02649
19380	1100	3	4	2.01415
19440	1104	6	2	2.04001
19500	1109	6	1	2.00295
19560	1109	2	2	2.07642
19620	1111	3	1	2.10686
19680	1113	5	3	2.0294
19740	1112	1	2	2.12385
19800	1110	2	4	2.05418
19860	1117	8	1	2.15759
19920	1117	2	2	2.32788
19980	1118	6	5	2.32857
20040	1118	3	3	2.36394
20100	1119	5	4	2.3403
20160	1127	10	2	1.98894
20220	1126	1	2	2.19625
20280	1127	10	9	2.04952
20340	1129	5	3	1.98063
20400	1127	3	5	2.01851
20460	1121	1	7	2.23853
20520	1127	7	1	2.06565
20580	1128	6	5	2.00831
20640	1131	5	2	1.92962
20700	1131	2	2	1.98896
20760	1132	4	3	2.23141
20820	1134	5	3	1.95259
20880	1136	6	4	2.00799
20940	1137	2	1	1.99195
21000	1133	3	7	2.14689
21060	1135	4	2	2.09798
21120	1139	6	2	2.041
21180	1141	7	5	1.93291
21240	1143	4	2	2.10015
21300	1141	4	6	2.005
21360	1137	2	6	2.02084
21420	1140	5	2	1.89891
21480	1144	6	2	1.94889
21540	1148	4	0	2.36445
21600	1152	6	2	2.02248
21660	1148	4	8	1.97553
21720	1147	4	5	1.94297
21780	1150	4	1	1.90973
21840	1150	3	3	1.91738
21900	1152	7	5	1.90742
21960	1151	2	3	2.12186
22020	1151	2	2	1.95739
22080	1149	4	6	2.07003
22140	1156	9	2	2.04097
22200	1162	6	0	2.05588
22260	1160	1	3	2.05214
22320	1163	3	0	2.02344
22380	1164	6	5	1.96137
22440	1164	3	3	2.01396
22500	1165	4	3	1.93824
22560	1162	2	5	2.03654
22620	1166	6	2	1.99746
22680	1171	9	4	2.02229
22740	1178	11	4	2.03705
22800	1183	5	0	1.97246
22860	1183	3	3	2.03994
22920	1191	8	0	2.05554
22980	1194	9	6	1.9529
23040	1194	3	3	2.17318
23100	1188	3	9	2.11661
23160	1196	9	1	2.05804
23220	1196	6	6	2.12753
23280	1196	3	3	2.14192
23340	1198	7	5	1.99747
23400	1205	9	2	2.17966
23460	1204	2	3	2.00966
23520	1199	2	7	2.00742
23580	1197	4	6	1.94801
23640	1199	4	2	1.99042
23700	1196	3	6	1.91835
23760	1201	6	1	1.96242
23820	1203	4	2	2.02408
23880	1207	7	3	2.00099
23940	1200	1	8	1.97795
24000	1204	5	1	2.05124
24060	1205	4	3	1.9194
24120	1200	4	9	2.05323
24180	1200	1	1	2.17459
24240	1199	2	3	2.04648
24300	1202	9	6	2.13271
24360	1203	4	3	2.08155
24420	1203	7	7	2.12462
24480	1205	5	3	2.06545
24540	1206	4	3	1.95541
24600	1206	3	3	1.93642
24660	1211	9	4	1.94738
24720	1214	4	1	1.93788
24780	1214	2	2	2.07917
24840	1213	3	4	1.99993
24900	1216	8	5	1.95541
24960	1221	9	4	2.06804
25020	1224	7	4	1.98745
25080	1218	3	9	2.11527
25140	1222	5	1	2.07439
25200	1220	3	5	2.09932
25260	1216	3	7	2.16546
25320	1220	6	2	1.93289
25380	1225	8	3	1.93188
25440	1227	3	1	1.93787
25500	1227	2	2	2.00505
25560	1226	5	6	2.16703
25620	1225	3	4	2.02394
25680	1232	9	2	1.94896
25740	1236	6	2	2.07506
25800	1231	0	5	1.93982
25860	1229	2	4	1.89141
25920	1228	4	5	1.99953
25980	1225	2	5	2.19167
26040	1224	5	6	2.08499
26100	1227	7	4	1.95443
26160	1229	6	4	2.11492
26220	1227	3	5	2.27881
26280	1227	4	4	2.4544
26340	1225	1	3	1.83952
26400	1228	6	3	2.07143
26460	1231	6	3	2.00147
26520	1232	4	3	1.92048
26580	1229	3	6	2.04786
26640	1231	6	4	2.32302
26700	1233	4	2	2.08004
26760	1233	3	3	2.0625
26820	1234	9	8	2.21719
26880	1234	2	2	2.14616
26940	1233	3	4	1.9795
27000	1233	4	4	2.2062
27060	1235	8	6	2.04449
27120	1237	4	2	1.99843
27180	1241	7	3	2.09504
27240	1244	5	2	1.99053
27300	1251	8	1	1.94878
27360	1249	1	3	1.99074
27420	1249	3	3	2.14673
27480	1256	8	1	2.02853
27540	1257	4	3	2.10006
27600	1260	5	2	2.15277
27660	1263	5	2	1.96293
